id,jurisd_osm_id,ctype,pack_id,fhash,fname,fversion,is_valid,fmeta,config,ingest_instant
5206,297968,enderecos,25,22ecd5ef4ca76adef213fa422d9b5e4198f0667df598c511c30e512bb10aaedd,Q_Endereco_SBC.zip,1,t,"{""ext"": ""zip"", ""size"": 3502991, ""isdir"": false, ""access"": ""2020-09-21T07:20:30+00:00"", ""change"": ""2020-08-14T16:44:57+00:00"", ""pack_id"": 25, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoBernardoCampo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5207,298470,std,26,3ed914c433722c62dcd38009778e58bd9b92ce89d954ca229b17b5a7d98acd85,Osasco.zip,1,t,"{""ext"": ""zip"", ""size"": 51492255, ""isdir"": false, ""access"": ""2020-09-21T07:20:29+00:00"", ""change"": ""2020-07-29T04:35:35+00:00"", ""pack_id"": 26, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Osasco""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5208,242397,std,27,78cd2415c559e70d7246a9d7cc08acec4339626a675e5ac9cca91c7297fea462,SMF-XLSX-ORIGINAIS.zip,1,t,"{""ext"": ""zip"", ""size"": 57798373, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-07-28T14:51:38+00:00"", ""pack_id"": 27, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-RS-PortoAlegre""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5209,297991,edificacoes,28,512fe4c44525a211c68415da0ab06d565a6ba3653739809d46404d6653ce5064,edificacoes.zip,1,t,"{""ext"": ""zip"", ""size"": 24138706, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-08-14T17:42:52+00:00"", ""pack_id"": 28, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Jundiai""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5210,297991,eixos,28,64b4af485458099065ff5fcf2c4e37f5d30cad57d746a7550129fec7e90079d8,L_8683-2016_m12_vias_func_urbanistica.zip,1,t,"{""ext"": ""zip"", ""size"": 821800, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-08-14T17:42:47+00:00"", ""pack_id"": 28, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Jundiai""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5211,297991,eixos,28,ce76963d0679cbbb3f57e7ce53b32ccc3afd1768299509f539b4bdd22074e7e8,logradouro.zip,1,t,"{""ext"": ""zip"", ""size"": 1702601, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-08-14T17:42:40+00:00"", ""pack_id"": 28, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Jundiai""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5212,297991,lotes,28,4c4a1565e1f7d5675ff2d546d0e6a85acd7bbaa018503601dd07e1be80dee130,lotes_jund.zip,1,t,"{""ext"": ""zip"", ""size"": 14025525, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-08-14T17:42:32+00:00"", ""pack_id"": 28, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Jundiai""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5213,297991,territorios,28,7995d41f628e31599f80b367650d363f47e75e1515be9fefabefca91189608a5,v_bairros_populacao.zip,1,t,"{""ext"": ""zip"", ""size"": 145376, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-08-14T17:42:27+00:00"", ""pack_id"": 28, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Jundiai""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5214,297611,territorios,29,7d96c19771ca271623058eeb9fdc4ceb67ff68c3937a7b66e7ccdb1a4e6580fb,BAIRROS.rar,1,t,"{""ext"": ""rar"", ""size"": 35685, ""isdir"": false, ""access"": ""2020-09-21T07:20:25+00:00"", ""change"": ""2020-08-14T17:51:37+00:00"", ""pack_id"": 29, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-Pinhais""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5215,297611,lotes,29,56d32368409f4ba2c99afadc7ad307bd8cc660b93d38e57936da313fafde1f13,LOTES.rar,1,t,"{""ext"": ""rar"", ""size"": 2061575, ""isdir"": false, ""access"": ""2020-09-21T07:20:25+00:00"", ""change"": ""2020-08-14T17:51:32+00:00"", ""pack_id"": 29, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-Pinhais""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5216,297611,eixos,29,27c0c467222a668837f62e9f40ac85f94685ea50f3d655207384f2343d13f573,RUAS.rar,1,t,"{""ext"": ""rar"", ""size"": 97648, ""isdir"": false, ""access"": ""2020-09-21T07:20:25+00:00"", ""change"": ""2020-08-14T17:51:43+00:00"", ""pack_id"": 29, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-Pinhais""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5217,297687,data,30,541b252026c2c3d5b71b719d2cd2f5ee7e96443139efcec23b647263892950c5,cadastros-terreno.csv,1,t,"{""ext"": ""csv"", ""size"": 2646141, ""isdir"": false, ""access"": ""2020-09-21T07:20:24+00:00"", ""change"": ""2020-09-17T23:38:12+00:00"", ""pack_id"": 30, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-MarechalCandidoRondon""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5218,297687,data,30,48632d6c68da09c1cd10c91becd2520f404b3a4af2e09909665b4a29f7465d97,cadastros-unidade.csv,1,t,"{""ext"": ""csv"", ""size"": 2003159, ""isdir"": false, ""access"": ""2020-09-21T07:20:24+00:00"", ""change"": ""2020-09-17T23:38:31+00:00"", ""pack_id"": 30, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-MarechalCandidoRondon""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5219,297687,dwg,30,6081b89336cc887397e13dc07ecbb7bea68a4c6d0f85e52c7b444d00aca4037d,Master_Sede.dwg,1,t,"{""ext"": ""dwg"", ""size"": 11430099, ""isdir"": false, ""access"": ""2020-09-21T07:20:24+00:00"", ""change"": ""2020-09-17T23:33:23+00:00"", ""pack_id"": 30, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-MarechalCandidoRondon""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5220,297687,dwg,30,116ca409e3a106840f1f2b0a53d4cf36e93ad15848e814a228047e6fda79d270,NUM_PREDIAL_MCR.rar,1,t,"{""ext"": ""rar"", ""size"": 39478019, ""isdir"": false, ""access"": ""2020-09-21T07:20:24+00:00"", ""change"": ""2020-09-17T23:31:48+00:00"", ""pack_id"": 30, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-MarechalCandidoRondon""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5221,297687,dwg,30,73b2f792106c2127ce12782ba8e3c84d1d4194b62ea6092df5f9d3915871ee74,salvosL(desenhos_de_NUM_PREDIAL_MCR_na_versao_2010).rar,1,t,"{""ext"": ""rar"", ""size"": 589486, ""isdir"": false, ""access"": ""2020-09-21T07:20:24+00:00"", ""change"": ""2020-09-17T23:47:29+00:00"", ""pack_id"": 30, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-MarechalCandidoRondon""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5222,242595,std,31,866e3ded76df02172212ef16a1c13a0e812d910fb29efd73917a04d1d930ab94,Santa_Maria-RS.zip,1,t,"{""ext"": ""zip"", ""size"": 2862118, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-09-04T19:41:45+00:00"", ""pack_id"": 31, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-RS-SantaMaria""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5223,297897,cad,32,6a91643ede21e91bca5a571b4466786699a58c4b77181f00ed748f9b7659cca2,Perimetro_Urbano_(_Laranjal_Pta.)_2019.dwg_cad_2000.dwg,1,t,"{""ext"": ""dwg"", ""size"": 3620555, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-09-03T21:27:13+00:00"", ""pack_id"": 32, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-LaranjalPaulista""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
