type,url,savedUrl
whois,http://www.iana.org/domains/root/db/rio.html,http://archive.today/2014.05.23-181951/http://www.iana.org/domains/root/db/rio.html
whois,http://www.iana.org/domains/root/db/rio.html,http://archive.today/2022.04.25-031441/https://www.iana.org/domains/root/db/rio.html
whois,http://www.iana.org/domains/root/db/rio.html,http://web.archive.org/web/20220425031226/https://www.iana.org/domains/root/db/rio.html
whois,http://www.iana.org/domains/root/db/rio.html,http://web.archive.org/web/20140704222657/http://www.iana.org/domains/root/db/rio.html
