HouseNumber,SRID_29193
correto,POINT (350419.340480 7346023.043749)
0475,POINT (350418.073226 7346023.664746)
correto,POINT (350407.752845 7345993.075666)
0476,POINT (350406.485591 7345993.696663)
correto,POINT (350398.377237 7345996.890927)
0466,POINT (350397.109983 7345997.511924)
correto,POINT (350389.376698 7346000.305128)
0456,POINT (350388.109445 7346000.926125)
correto,POINT (350378.493446 7346005.069593)
0446,POINT (350377.226193 7346005.690589)
correto,POINT (350409.487684 7346026.313552)
0465,POINT (350408.220430 7346026.934548)
correto,POINT (350400.069866 7346029.916250)
0455,POINT (350398.802612 7346030.537246)
correto,POINT (350389.850351 7346034.386180)
0445,POINT (350388.583098 7346035.007177)
correto,POINT (350330.546005 7346023.296135)
0394,POINT (350329.279135 7346023.916991)
correto,POINT (350346.351904 7346052.825530)
0395,POINT (350345.085035 7346053.446386)
correto,POINT (350321.297592 7346027.243087)
0384,POINT (350320.030722 7346027.863943)
correto,POINT (350311.276094 7346031.030617)
0374,POINT (350310.009224 7346031.651473)
correto,POINT (350302.232213 7346034.571257)
0364,POINT (350300.965343 7346035.192113)
correto,POINT (350292.932808 7346038.448943)
0354,POINT (350291.665939 7346039.069799)
correto,POINT (350283.814140 7346042.326629)
0344,POINT (350282.547271 7346042.947485)
correto,POINT (350274.063462 7346045.753413)
0334,POINT (350272.796593 7346046.374269)
correto,POINT (350265.034879 7346049.270475)
0324,POINT (350263.768009 7346049.891331)
correto,POINT (350333.569242 7346057.528644)
0385,POINT (350332.302372 7346058.149500)
correto,POINT (350324.328194 7346061.374568)
0375,POINT (350323.061325 7346061.995424)
correto,POINT (350315.205441 7346064.854770)
0365,POINT (350313.938572 7346065.475626)
correto,POINT (350296.077575 7346071.633785)
0345,POINT (350294.810705 7346072.254641)
correto,POINT (350286.912796 7346074.785059)
0335,POINT (350285.645927 7346075.405914)
correto,POINT (350276.755440 7346078.448928)
0325,POINT (350275.488570 7346079.069784)
correto,POINT (350305.846099 7346067.976847)
0355,POINT (350304.579230 7346068.597703)
0154,POINT (348222.264722 7345730.943640)
0144,POINT (348230.226067 7345724.896216)
0134,POINT (348237.767160 7345718.729861)
0210,POINT (348743.264915 7346276.516816)
0260,POINT (352193.887176 7349868.317862)
1665,POINT (350884.414043 7346798.999672)
0520,POINT (348038.181310 7347204.579160)
