HouseNumber,SRID_29193
0690,POINT (349099.583957 7346444.715377)
0700,POINT (349105.828634 7346442.822467)
0710,POINT (349113.593448 7346436.747495)
0730,POINT (349129.462852 7346424.168447)
0750,POINT (349144.961125 7346411.764942)
0770,POINT (349160.454180 7346399.358555)
0785,POINT (349147.019833 7346362.515433)
0777,POINT (349134.825324 7346365.898392)
0767,POINT (349127.013475 7346372.043990)
0757,POINT (349119.189017 7346378.265292)
0737,POINT (349103.451756 7346390.797516)
0717,POINT (349087.886356 7346403.175210)
0697,POINT (349072.321597 7346415.520118)
0687,POINT (349064.605866 7346421.577352)
0677,POINT (349056.676428 7346428.045203)
0667,POINT (349048.808603 7346434.334618)
0653,POINT (349036.879106 7346445.826159)
0647,POINT (349031.120597 7346450.405840)
0627,POINT (349017.590031 7346459.176908)
0623,POINT (349013.504576 7346464.415769)
0617,POINT (349007.658685 7346469.064945)
0607,POINT (349001.870394 7346471.610455)
0597,POINT (348993.346924 7346478.477476)
0585,POINT (348987.909874 7346484.771045)
0227,POINT (349109.216281 7346348.226607)
0566,POINT (348946.246153 7346479.296630)
0574,POINT (348958.183257 7346476.907348)
0584,POINT (348966.085164 7346470.535979)
0594,POINT (348973.965419 7346464.220383)
0604,POINT (348981.944241 7346457.656400)
0634,POINT (349005.136001 7346439.205852)
0664,POINT (349028.448207 7346420.592561)
0674,POINT (349036.249676 7346414.415178)
0684,POINT (349044.423340 7346407.997242)
0694,POINT (349052.083345 7346401.673717)
0704,POINT (349060.015529 7346395.613013)
0714,POINT (349067.685227 7346389.430868)
0734,POINT (349083.475950 7346376.876315)
0744,POINT (349091.234663 7346370.685765)
0766,POINT (349105.846644 7346358.077904)
0755,POINT (349077.243197 7346334.497815)
0747,POINT (349066.347782 7346338.766553)
0727,POINT (349050.458747 7346351.207857)
0717,POINT (349042.608362 7346357.373340)
0707,POINT (349034.644234 7346363.582167)
0697,POINT (349026.961125 7346369.706439)
0687,POINT (349019.182288 7346376.030173)
0677,POINT (349011.212923 7346382.243651)
0667,POINT (349003.551906 7346388.487719)
0657,POINT (348995.799061 7346394.721869)
0647,POINT (348987.854626 7346400.950581)
0637,POINT (348980.034663 7346407.177965)
0625,POINT (348976.186118 7346412.367647)
0621,POINT (348970.265664 7346417.076146)
0617,POINT (348964.454857 7346419.563584)
0607,POINT (348956.577506 7346425.829695)
0597,POINT (348948.569477 7346432.067051)
0587,POINT (348940.826072 7346438.346883)
0555,POINT (348918.941170 7346457.882003)
0363,POINT (348764.415438 7346578.251528)
0369,POINT (348768.045354 7346575.408533)
0377,POINT (348773.920987 7346570.593738)
0387,POINT (348781.854479 7346564.373172)
0407,POINT (348797.511973 7346552.079219)
0433,POINT (348819.136239 7346534.626812)
0439,POINT (348822.729616 7346531.575896)
0447,POINT (348828.574277 7346527.005299)
0457,POINT (348836.334260 7346520.883800)
0467,POINT (348844.062512 7346514.552516)
0487,POINT (348859.973202 7346502.012244)
0507,POINT (348875.388151 7346489.655623)
0517,POINT (348883.609413 7346483.561253)
0340,POINT (348776.585803 7346622.255220)
0380,POINT (348807.952251 7346597.379094)
0390,POINT (348815.775841 7346591.209914)
0400,POINT (348823.487333 7346584.873833)
0460,POINT (348870.490123 7346547.659619)
0470,POINT (348878.469808 7346541.416919)
0480,POINT (348886.275056 7346535.058412)
0490,POINT (348894.036471 7346528.980924)
0500,POINT (348901.853489 7346522.573775)
0510,POINT (348909.484525 7346516.671262)
0516,POINT (348915.840242 7346511.115673)
0522,POINT (348920.700961 7346507.360374)
0534,POINT (348927.641278 7346501.857075)
0535,POINT (348944.619956 7346516.678942)
0495,POINT (348913.085339 7346541.624384)
0465,POINT (348889.588536 7346560.348295)
0445,POINT (348873.981463 7346572.667203)
0435,POINT (348865.997593 7346578.980860)
0425,POINT (348858.453101 7346585.157922)
0415,POINT (348850.567145 7346591.385308)
0405,POINT (348842.677445 7346597.506909)
0395,POINT (348834.911394 7346603.867227)
0363,POINT (348810.635135 7346623.306204)
0351,POINT (348799.290313 7346631.858932)
0360,POINT (348833.129069 7346651.770247)
0398,POINT (348869.245220 7346630.993661)
0428,POINT (348892.734125 7346612.241644)
0438,POINT (348900.393936 7346606.048655)
0448,POINT (348908.354408 7346599.866808)
0478,POINT (348931.489827 7346581.224768)
0488,POINT (348939.754260 7346574.692256)
0508,POINT (348955.324157 7346562.594653)
0518,POINT (348963.158486 7346556.324022)
0528,POINT (348970.971210 7346550.084182)
0542,POINT (348981.000783 7346542.217244)
0538,POINT (348976.616889 7346545.321415)
0550,POINT (348987.399151 7346537.023115)
0433,POINT (348911.520842 7346624.592572)
0443,POINT (348919.515880 7346618.358707)
0523,POINT (348980.341743 7346570.306608)
0527,POINT (348984.149760 7346567.411669)
0533,POINT (348988.091086 7346564.143607)
0537,POINT (348992.019649 7346561.152802)
0543,POINT (348997.472786 7346556.180851)
0563,POINT (349013.253938 7346543.755774)
0581,POINT (349026.630583 7346533.612850)
0398,POINT (348914.368365 7346676.727261)
0418,POINT (348930.009313 7346664.182767)
0448,POINT (348953.646936 7346645.344513)
0458,POINT (348961.671669 7346639.204400)
0468,POINT (348969.322478 7346632.931799)
0478,POINT (348976.998409 7346626.768726)
0498,POINT (348992.861272 7346614.278136)
0514,POINT (349006.373838 7346603.020541)
0518,POINT (349010.577032 7346600.293961)
0568,POINT (349047.529491 7346570.958967)
0592,POINT (349065.446894 7346556.651771)
0580,POINT (349058.679518 7346562.218527)
0574,POINT (349053.871267 7346565.775393)
0346,POINT (348602.979190 7346920.528980)
0338,POINT (348594.319972 7346911.975403)
0326,POINT (348585.609462 7346903.371159)
0312,POINT (348579.429442 7346893.978535)
0032,POINT (348628.068260 7346902.885230)
0042,POINT (348636.949702 7346895.906069)
0102,POINT (348684.118374 7346858.255745)
0114,POINT (348688.860295 7346852.947164)
0033,POINT (348598.840449 7346873.915848)
0043,POINT (348607.403186 7346867.119978)
0053,POINT (348615.697162 7346860.625629)
0063,POINT (348623.692326 7346854.266630)
0101,POINT (348653.503929 7346833.601578)
0250,POINT (348532.718093 7346849.731628)
0069,POINT (348582.047429 7346807.789313)
0067,POINT (348576.346798 7346812.349161)
0055,POINT (348569.394419 7346816.099370)
0032,POINT (348581.068928 7346858.483389)
0042,POINT (348589.815550 7346851.655458)
0052,POINT (348598.426728 7346844.697877)
0072,POINT (348615.249251 7346831.116145)
0082,POINT (348619.639655 7346825.770096)
0058,POINT (348564.328123 7346790.103034)
0210,POINT (348508.120487 7346816.349655)
0038,POINT (348544.828946 7346805.657581)
0048,POINT (348552.692317 7346799.872694)
0052,POINT (348558.776266 7346794.994202)
0025,POINT (348505.282760 7346784.960083)
0029,POINT (348510.638401 7346780.738274)
0039,POINT (348515.696589 7346777.158230)
0075,POINT (348677.211515 7346892.584171)
0103,POINT (348698.716597 7346875.829980)
0109,POINT (348702.165201 7346872.922729)
0115,POINT (348708.461197 7346867.994378)
0137,POINT (348722.459923 7346858.558926)
0112,POINT (348739.736210 7346902.479136)
0080,POINT (348715.412628 7346921.555271)
0070,POINT (348706.600069 7346928.563841)
0060,POINT (348698.846110 7346934.986225)
0053,POINT (348719.968824 7346962.696109)
0073,POINT (348733.681944 7346951.088438)
0083,POINT (348741.728628 7346944.977396)
0123,POINT (348773.088542 7346920.050711)
0133,POINT (348780.835746 7346913.885732)
0143,POINT (348788.702804 7346907.528092)
0153,POINT (348796.491489 7346901.328852)
0163,POINT (348804.350892 7346895.237651)
0180,POINT (348852.713147 7346915.740667)
0170,POINT (348844.833011 7346922.433962)
0160,POINT (348836.967276 7346928.704795)
0130,POINT (348813.236053 7346947.533668)
0120,POINT (348805.706116 7346953.457769)
0110,POINT (348797.796916 7346959.721159)
0100,POINT (348790.097483 7346965.825530)
0090,POINT (348782.076226 7346972.035787)
0050,POINT (348751.091898 7346997.066306)
0040,POINT (348743.239549 7347003.217206)
0030,POINT (348735.570492 7347009.490279)
0539,POINT (348740.109862 7347052.363758)
0525,POINT (348732.364031 7347044.757788)
0041,POINT (348758.879332 7347018.330876)
0057,POINT (348772.832761 7347007.396261)
0061,POINT (348776.249487 7347004.650244)
0081,POINT (348790.307725 7346993.567376)
0131,POINT (348829.332885 7346962.453742)
0348,POINT (348924.354581 7346755.500716)
0177,POINT (348761.413113 7346829.168039)
0187,POINT (348765.446364 7346822.902812)
0192,POINT (348773.616729 7346816.182053)
0217,POINT (348789.166188 7346803.801333)
0227,POINT (348796.899560 7346797.495840)
0247,POINT (348814.197654 7346783.808076)
0267,POINT (348827.934408 7346772.622216)
0277,POINT (348835.900997 7346766.139472)
0317,POINT (348867.197215 7346741.291231)
0327,POINT (348875.177851 7346735.163423)
0337,POINT (348882.878453 7346729.054614)
0367,POINT (348906.831279 7346710.148555)
0198,POINT (348807.242162 7346848.770519)
0318,POINT (348901.410123 7346774.076023)
0328,POINT (348908.806128 7346767.981156)
0358,POINT (348932.421069 7346749.363294)
0242,POINT (348901.353256 7346875.880891)
0262,POINT (348916.744678 7346863.525372)
0272,POINT (348924.768227 7346857.262914)
0312,POINT (348956.462022 7346833.343842)
0322,POINT (348964.447550 7346827.060464)
0332,POINT (348972.063130 7346820.996006)
0342,POINT (348980.065231 7346814.748175)
0350,POINT (348986.071049 7346810.050542)
0354,POINT (348990.087023 7346806.957131)
0063,POINT (349029.618609 7346749.657684)
0051,POINT (349021.126818 7346756.636353)
0394,POINT (349021.407016 7346781.750009)
0406,POINT (349030.714337 7346774.475943)
0420,POINT (349043.007001 7346764.872390)
0363,POINT (348962.977083 7346769.068925)
0353,POINT (348955.184433 7346775.056083)
0323,POINT (348931.605460 7346793.754827)
0313,POINT (348923.808327 7346800.017564)
0273,POINT (348892.644124 7346824.988440)
0243,POINT (348869.392622 7346843.738125)
0223,POINT (348852.791250 7346856.847709)
0211,POINT (348846.760115 7346861.960494)
0395,POINT (349043.186598 7346792.150849)
0385,POINT (349035.364159 7346798.273268)
0375,POINT (349027.634216 7346804.255114)
0365,POINT (349019.701689 7346810.669169)
0345,POINT (349004.212742 7346823.104858)
0335,POINT (348996.259860 7346829.236055)
0315,POINT (348980.651062 7346841.982232)
0305,POINT (348972.758152 7346848.093956)
0295,POINT (348966.602927 7346853.006023)
0255,POINT (348933.715461 7346879.333608)
0245,POINT (348925.269699 7346885.916714)
0235,POINT (348917.166010 7346892.399690)
0175,POINT (348977.727942 7346684.253388)
0185,POINT (348959.204697 7346694.437638)
0455,POINT (348976.477245 7346655.618502)
0483,POINT (348998.343127 7346637.621973)
0493,POINT (349006.103515 7346631.371345)
0571,POINT (349067.024360 7346583.093814)
0513,POINT (349022.046221 7346618.703253)
0523,POINT (349029.861182 7346612.692814)
0533,POINT (349037.676740 7346606.365437)
0543,POINT (349045.395476 7346600.058551)
0575,POINT (349070.996942 7346579.637529)
0583,POINT (349076.641580 7346575.184045)
0593,POINT (349084.532060 7346568.701904)
0603,POINT (349092.878270 7346562.540573)
0618,POINT (349139.572459 7346580.734369)
0612,POINT (349132.677614 7346585.759620)
0606,POINT (349128.567867 7346591.212970)
0596,POINT (349120.371025 7346597.774535)
0516,POINT (349057.750415 7346647.705271)
0506,POINT (349050.139662 7346653.746738)
0496,POINT (349042.129149 7346660.029872)
0486,POINT (349034.098139 7346666.342544)
0476,POINT (349026.339355 7346672.629667)
0466,POINT (349020.367752 7346675.277142)
0639,POINT (349188.149142 7346594.763634)
0591,POINT (349144.076932 7346625.445545)
0581,POINT (349136.169679 7346631.698064)
0531,POINT (349097.233736 7346662.965726)
0511,POINT (349081.585615 7346675.287023)
0491,POINT (349065.713504 7346687.753676)
0481,POINT (349058.019348 7346694.041658)
0461,POINT (349042.402894 7346706.478182)
0453,POINT (349038.491862 7346712.517614)
0462,POINT (349074.379452 7346738.119992)
0474,POINT (349082.537291 7346731.657279)
0478,POINT (349086.586888 7346726.085031)
0484,POINT (349092.412867 7346721.457443)
0494,POINT (349098.373586 7346719.019968)
0504,POINT (349106.010836 7346712.954780)
0514,POINT (349114.070374 7346706.554161)
0524,POINT (349121.889173 7346700.380855)
0534,POINT (349129.541017 7346694.284783)
0554,POINT (349145.080900 7346681.774554)
0574,POINT (349160.844414 7346669.294550)
0584,POINT (349168.690788 7346663.146713)
0594,POINT (349176.509134 7346656.853431)
0604,POINT (349184.281404 7346650.667892)
0624,POINT (349200.048467 7346638.203257)
0634,POINT (349207.785466 7346632.019341)
0636,POINT (349216.066563 7346625.607805)
0644,POINT (349220.425420 7346619.776785)
0656,POINT (349227.504037 7346614.154223)
0657,POINT (349241.301315 7346635.062869)
0647,POINT (349233.513315 7346641.474095)
0627,POINT (349218.010676 7346653.796646)
0617,POINT (349210.130715 7346660.170430)
0607,POINT (349202.307481 7346666.348064)
0587,POINT (349186.606545 7346678.719840)
0577,POINT (349178.937264 7346684.873650)
0567,POINT (349171.200186 7346691.304073)
0557,POINT (349163.240611 7346697.361630)
0547,POINT (349155.329527 7346703.843197)
0533,POINT (349143.762005 7346715.722850)
0527,POINT (349138.360559 7346720.018561)
0507,POINT (349124.408387 7346728.455541)
0487,POINT (349108.168849 7346741.451914)
0475,POINT (349103.425196 7346747.802426)
0913,POINT (349444.655105 7346479.217520)
0907,POINT (349436.406886 7346480.361972)
0879,POINT (349415.219952 7346496.084141)
0875,POINT (349409.324768 7346500.761267)
0869,POINT (349405.034442 7346504.070010)
0859,POINT (349399.552649 7346508.699852)
0789,POINT (349344.897148 7346552.356521)
0769,POINT (349329.207227 7346564.724698)
0749,POINT (349313.778767 7346577.348131)
0739,POINT (349305.938623 7346583.508237)
0719,POINT (349289.613783 7346596.334699)
0707,POINT (349283.015900 7346602.349086)
0726,POINT (349279.635617 7346576.480051)
0732,POINT (349283.124773 7346573.762999)
0736,POINT (349289.595980 7346568.721599)
0746,POINT (349297.472038 7346562.457379)
0762,POINT (349310.814914 7346551.683361)
0766,POINT (349314.414563 7346548.878411)
0776,POINT (349321.097794 7346543.880328)
0796,POINT (349336.453779 7346531.422227)
0806,POINT (349344.398225 7346524.969251)
0826,POINT (349360.064579 7346512.491156)
0860,POINT (349385.160021 7346492.280813)
0886,POINT (349405.987689 7346476.082737)
0039,POINT (349372.087043 7346475.747982)
0815,POINT (349327.207638 7346479.233065)
0775,POINT (349295.624495 7346504.031259)
0755,POINT (349280.360856 7346516.261752)
0735,POINT (349264.578617 7346529.009121)
0705,POINT (349241.163019 7346547.639969)
0663,POINT (349210.416970 7346572.748591)
0654,POINT (349165.697687 7346563.091621)
0662,POINT (349171.344712 7346559.221359)
0672,POINT (349179.206330 7346552.804682)
0692,POINT (349194.820328 7346540.463654)
0702,POINT (349202.825185 7346534.121790)
0800,POINT (349281.248523 7346472.030833)
0830,POINT (349304.445640 7346453.450348)
0883,POINT (349277.900606 7346416.432444)
0823,POINT (349271.198881 7346420.238118)
0813,POINT (349262.622433 7346427.043321)
0803,POINT (349254.893616 7346433.137982)
0793,POINT (349249.409475 7346437.622672)
0789,POINT (349245.327318 7346440.986122)
0783,POINT (349239.415607 7346445.327893)
0773,POINT (349231.459940 7346451.684970)
0753,POINT (349215.877562 7346464.392926)
0743,POINT (349207.785010 7346470.556205)
0735,POINT (349202.171401 7346475.232287)
0723,POINT (349192.516746 7346482.755102)
0713,POINT (349184.530634 7346489.257441)
0653,POINT (349137.621884 7346526.411222)
0163,POINT (349477.045748 7346279.340502)
0991,POINT (349397.273559 7346325.140992)
0975,POINT (349381.419144 7346337.424208)
0909,POINT (349333.379145 7346375.803284)
0209,POINT (349319.759156 7346407.467688)
0901,POINT (349325.660285 7346378.283574)
0917,POINT (349340.178067 7346370.414813)
0979,POINT (349386.977952 7346333.195171)
1015,POINT (349413.876518 7346308.027823)
1025,POINT (349421.648060 7346301.956552)
1035,POINT (349429.456157 7346295.586305)
1045,POINT (349437.297966 7346289.294969)
1055,POINT (349445.168775 7346283.024582)
1065,POINT (349453.050699 7346276.742419)
1073,POINT (349466.355546 7346272.101322)
0924,POINT (349375.897607 7346391.153478)
0934,POINT (349383.783259 7346384.882093)
0984,POINT (349422.206884 7346358.304204)
1008,POINT (349437.707625 7346346.043546)
1014,POINT (349445.622798 7346339.668231)
1024,POINT (349453.369983 7346333.519684)
1056,POINT (349476.751695 7346314.962446)
1064,POINT (349484.818991 7346308.506212)
1074,POINT (349492.867694 7346302.134957)
1058,POINT (349537.320221 7346368.849045)
0913,POINT (349403.807843 7346424.485880)
0921,POINT (349406.844676 7346416.999593)
0931,POINT (349414.641263 7346410.705096)
0941,POINT (349422.429189 7346404.540903)
0951,POINT (349430.463017 7346398.317477)
0961,POINT (349438.248162 7346392.100466)
0971,POINT (349446.045890 7346385.899469)
0989,POINT (349461.831864 7346379.718594)
0993,POINT (349467.277541 7346375.388031)
1001,POINT (349469.501175 7346367.608662)
1011,POINT (349477.178521 7346361.050731)
1021,POINT (349485.130316 7346355.022719)
1031,POINT (349492.834068 7346348.521073)
1041,POINT (349500.659147 7346342.451549)
1061,POINT (349516.538456 7346330.062118)
1081,POINT (349531.879300 7346317.708167)
1091,POINT (349539.859273 7346311.348071)
1099,POINT (349553.857666 7346306.536587)
0920,POINT (349432.570572 7346451.900027)
0928,POINT (349439.257056 7346448.409036)
0968,POINT (349470.749556 7346423.475104)
0998,POINT (349494.160816 7346404.696215)
1008,POINT (349501.814970 7346398.441222)
1018,POINT (349509.784845 7346392.269096)
1028,POINT (349517.243888 7346386.286308)
1038,POINT (349525.388601 7346379.845591)
1048,POINT (349533.017700 7346373.966550)
1054,POINT (349542.756474 7346364.276499)
1068,POINT (349548.758604 7346361.284850)
1088,POINT (349564.531469 7346348.650785)
0590,POINT (349472.484595 7346469.277961)
0961,POINT (349480.279572 7346445.577610)
0971,POINT (349488.270633 7346439.331859)
0981,POINT (349496.097645 7346433.253700)
0991,POINT (349504.084144 7346426.742812)
1011,POINT (349519.718099 7346414.323709)
1021,POINT (349527.206488 7346408.206473)
1031,POINT (349535.166010 7346401.878947)
1041,POINT (349542.844792 7346395.631081)
1065,POINT (349558.579050 7346383.357130)
1071,POINT (349566.430199 7346376.942249)
1091,POINT (349582.025904 7346364.614456)
1111,POINT (349597.837409 7346352.230635)
1131,POINT (349613.741246 7346339.565631)
1139,POINT (349625.154893 7346334.237724)
1183,POINT (349655.189175 7346305.156115)
1213,POINT (349678.488144 7346286.481220)
1223,POINT (349686.194854 7346280.276528)
1253,POINT (349709.951758 7346261.628701)
1263,POINT (349717.756412 7346255.384637)
1273,POINT (349725.540402 7346249.215467)
1283,POINT (349733.383851 7346242.832310)
0599,POINT (349672.957696 7346213.951948)
0615,POINT (349687.723356 7346219.425741)
0629,POINT (349701.773730 7346224.848661)
0641,POINT (349714.015574 7346232.563314)
1162,POINT (349623.766789 7346302.262072)
1222,POINT (349668.537768 7346266.959501)
1232,POINT (349676.510567 7346260.821259)
1252,POINT (349692.040430 7346248.342376)
1145,POINT (349578.211594 7346281.891370)
1157,POINT (349589.559123 7346270.431830)
1167,POINT (349597.491645 7346264.182081)
1177,POINT (349605.302574 7346257.888544)
1187,POINT (349613.224576 7346251.720389)
1227,POINT (349644.509074 7346226.843911)
0507,POINT (349584.856286 7346179.448506)
0503,POINT (349578.316055 7346176.179453)
0515,POINT (349596.968191 7346183.405101)
0531,POINT (349614.103359 7346191.929035)
1125,POINT (349500.776936 7346237.102886)
1135,POINT (349508.590866 7346230.956166)
1145,POINT (349516.536299 7346224.733909)
1155,POINT (349524.139767 7346218.505449)
1165,POINT (349532.127257 7346212.098030)
1175,POINT (349539.832874 7346206.014925)
1185,POINT (349547.727086 7346199.908038)
1195,POINT (349555.648458 7346193.512453)
1205,POINT (349563.047582 7346187.698092)
1148,POINT (349549.953156 7346257.594969)
1188,POINT (349581.643862 7346232.704542)
1218,POINT (349605.284169 7346213.955615)
1208,POINT (349597.166154 7346220.316219)
1345,POINT (352240.785593 7349913.264888)
1339,POINT (352233.030032 7349914.069317)
1325,POINT (352229.596570 7349915.502255)
1317,POINT (352216.472563 7349921.501119)
0154,POINT (352239.437918 7349958.198640)
0150,POINT (352238.053671 7349965.199339)
0140,POINT (352237.519271 7349967.902020)
0136,POINT (352236.087012 7349975.145504)
0124,POINT (352233.669889 7349987.369913)
0120,POINT (352232.216350 7349994.721056)
0102,POINT (352228.349213 7350014.278742)
0106,POINT (352229.802304 7350006.929872)
0087,POINT (352227.279086 7350019.690814)
0067,POINT (352223.286635 7350039.882268)
0061,POINT (352221.885578 7350046.967982)
0053,POINT (352221.451725 7350049.162122)
0051,POINT (352219.989705 7350056.556186)
0047,POINT (352219.500777 7350059.028896)
1313,POINT (352203.642662 7349927.465378)
0181,POINT (352201.619207 7349937.844077)
0175,POINT (352201.113319 7349940.402561)
0195,POINT (352203.053963 7349930.587932)
0171,POINT (352199.234009 7349949.906999)
0165,POINT (352197.785397 7349957.233218)
0141,POINT (352193.384370 7349979.491010)
0137,POINT (352191.879818 7349987.100106)
0121,POINT (352190.013539 7349996.538677)
0119,POINT (352189.519760 7349999.035918)
0115,POINT (352188.037461 7350006.532506)
0107,POINT (352187.015496 7350011.701003)
0097,POINT (352185.099373 7350021.391616)
0093,POINT (352183.605188 7350028.948286)
0087,POINT (352181.674335 7350038.713432)
0067,POINT (352177.812183 7350058.245909)
0047,POINT (352175.339339 7350070.752092)
0043,POINT (352173.906918 7350077.996392)
0037,POINT (352171.970514 7350087.789582)
0027,POINT (352170.953864 7350092.931228)
0344,POINT (352577.823805 7349659.801268)
0352,POINT (352572.905098 7349653.829652)
1719,POINT (352549.601257 7349653.488296)
1650,POINT (352514.823222 7349706.780449)
1660,POINT (352524.316943 7349703.545713)
1679,POINT (352540.758793 7349697.943584)
1670,POINT (352533.765554 7349700.326347)
1680,POINT (352543.324148 7349697.069507)
1690,POINT (352552.777809 7349693.848421)
1704,POINT (352569.141602 7349688.272888)
1702,POINT (352562.124593 7349690.663750)
1710,POINT (352571.572503 7349687.444622)
1720,POINT (352581.089989 7349684.201789)
1730,POINT (352590.698889 7349680.927803)
1639,POINT (352471.189870 7349680.548685)
1633,POINT (352464.481297 7349682.834455)
1679,POINT (352502.479227 7349669.887665)
1689,POINT (352511.605638 7349666.778080)
1699,POINT (352521.293923 7349663.477051)
1719,POINT (352539.985711 7349657.108315)
0360,POINT (352570.874402 7349649.642193)
1613,POINT (352497.150009 7349758.895115)
1638,POINT (352500.478387 7349796.639848)
1648,POINT (352502.879963 7349795.821580)
1662,POINT (352522.006205 7349789.304816)
1668,POINT (352528.792093 7349786.992703)
1678,POINT (352538.308396 7349783.750273)
1617,POINT (352506.629587 7349753.157720)
1623,POINT (352509.226653 7349752.030993)
1629,POINT (352516.085683 7349749.693964)
1639,POINT (352518.693407 7349748.805445)
1643,POINT (352528.075445 7349745.608762)
1649,POINT (352535.177121 7349743.189058)
1659,POINT (352544.506444 7349740.010336)
1655,POINT (352537.559896 7349742.377190)
1669,POINT (352553.996031 7349736.777009)
1663,POINT (352546.961373 7349739.173878)
1679,POINT (352556.469166 7349735.934353)
1683,POINT (352565.863465 7349732.733487)
1689,POINT (352572.828026 7349730.360501)
1719,POINT (352594.328108 7349723.034913)
1739,POINT (352603.954239 7349719.996896)
1688,POINT (352547.722937 7349780.542515)
1682,POINT (352540.882263 7349782.873295)
1698,POINT (352550.203710 7349779.697257)
1706,POINT (352566.681674 7349774.082823)
1702,POINT (352559.723211 7349776.453737)
1712,POINT (352569.019475 7349773.286427)
1718,POINT (352576.114925 7349770.868691)
1728,POINT (352578.817292 7349769.947930)
1738,POINT (352588.210016 7349766.747600)
1748,POINT (352599.220151 7349762.996192)
0021,POINT (352593.276508 7349956.283825)
0025,POINT (352593.835367 7349953.457448)
0031,POINT (352595.272801 7349946.187729)
0035,POINT (352595.789858 7349943.572759)
0041,POINT (352597.221327 7349936.333265)
0051,POINT (352597.712263 7349933.850400)
0055,POINT (352599.156798 7349926.544797)
0059,POINT (352599.664813 7349923.975562)
0063,POINT (352601.110682 7349916.663180)
0071,POINT (352603.038371 7349906.914102)
0081,POINT (352604.972100 7349897.134443)
0091,POINT (352606.897742 7349887.395689)
0101,POINT (352608.868133 7349877.430614)
0095,POINT (352607.393673 7349884.887562)
0111,POINT (352610.818061 7349867.569034)
0121,POINT (352612.718097 7349857.959775)
0131,POINT (352614.642563 7349848.226939)
0145,POINT (352616.531718 7349838.672742)
0141,POINT (352615.172452 7349845.547104)
0153,POINT (352619.153369 7349825.413951)
0151,POINT (352617.695035 7349832.789369)
0167,POINT (352621.070262 7349815.719471)
0163,POINT (352619.658108 7349822.861283)
0175,POINT (352623.001117 7349805.954352)
0171,POINT (352621.564732 7349813.218735)
0185,POINT (352624.937724 7349796.160137)
0195,POINT (352626.916259 7349786.153878)
0205,POINT (352628.835420 7349776.447898)
0201,POINT (352627.389806 7349783.758961)
0213,POINT (352630.774195 7349766.642695)
0225,POINT (352632.698923 7349756.908591)
0235,POINT (352633.213959 7349754.303815)
0241,POINT (352635.173475 7349744.393768)
0245,POINT (352636.607522 7349737.141208)
0261,POINT (352639.058715 7349724.744527)
0265,POINT (352640.468698 7349717.613667)
1665,POINT (352571.471109 7349796.014058)
1669,POINT (352580.382143 7349795.454598)
1679,POINT (352582.928127 7349794.059704)
1695,POINT (352593.010331 7349793.267598)
0166,POINT (352592.441908 7349819.095026)
0160,POINT (352590.986977 7349826.453203)
0156,POINT (352590.453335 7349829.152050)
0150,POINT (352589.038095 7349836.309496)
0146,POINT (352588.538557 7349838.835862)
0140,POINT (352587.167685 7349846.059300)
0136,POINT (352586.632442 7349848.475837)
0130,POINT (352585.170042 7349855.871789)
0126,POINT (352583.247199 7349865.596417)
0096,POINT (352578.791162 7349888.132416)
0090,POINT (352577.416689 7349895.083685)
0072,POINT (352574.334707 7349910.670525)
0068,POINT (352572.967975 7349917.582648)
0011,POINT (352518.505805 7349986.853567)
0021,POINT (352521.606098 7349973.700834)
0185,POINT (352552.362598 7349818.842200)
0175,POINT (352550.419595 7349828.668757)
0165,POINT (352548.542827 7349838.160339)
0155,POINT (352546.563548 7349848.170364)
0149,POINT (352546.067062 7349850.681293)
0145,POINT (352544.624447 7349857.977189)
0125,POINT (352542.161299 7349870.434330)
0117,POINT (352540.800084 7349877.318551)
0115,POINT (352538.804988 7349887.408566)
0097,POINT (352536.255882 7349900.300437)
0101,POINT (352537.676372 7349893.116436)
0091,POINT (352534.329021 7349910.045358)
0085,POINT (352533.777608 7349912.834076)
0081,POINT (352532.401336 7349919.794446)
0071,POINT (352530.460925 7349929.607898)
0061,POINT (352528.439783 7349939.829634)
0051,POINT (352526.604035 7349949.113765)
0041,POINT (352524.659416 7349958.948492)
1593,POINT (352494.742535 7349823.862385)
1595,POINT (352508.904709 7349819.395241)
1570,POINT (352482.880208 7350009.412039)
1550,POINT (352458.598908 7350017.802275)
1538,POINT (352453.778781 7350019.247527)
0044,POINT (352496.602091 7349973.365492)
0040,POINT (352495.108876 7349980.917289)
0080,POINT (352502.914979 7349941.438642)
0084,POINT (352504.303623 7349934.415702)
0111,POINT (352466.900877 7349926.810943)
0107,POINT (352465.477338 7349934.010360)
0063,POINT (352457.736281 7349973.160015)
0057,POINT (352457.189988 7349975.922871)
0053,POINT (352455.763625 7349983.136542)
1549,POINT (352459.317060 7349846.130536)
1533,POINT (352449.366775 7349845.542206)
1521,POINT (352439.783649 7349845.542133)
1511,POINT (352426.004570 7349848.656790)
1508,POINT (352413.088547 7350033.308277)
1488,POINT (352400.861410 7350038.008191)
1478,POINT (352388.864671 7350041.185116)
1464,POINT (352382.944307 7350042.500521)
0071,POINT (352392.934407 7349970.499502)
0081,POINT (352394.890463 7349960.606930)
0095,POINT (352396.856211 7349950.665342)
0091,POINT (352395.424261 7349957.907295)
0161,POINT (352409.582582 7349886.302890)
0181,POINT (352413.500262 7349866.489586)
1434,POINT (352343.613399 7350055.852358)
