pack_id;donor_id;pack_count;lst_vers;donor_label;user_resp;accepted_date;scope;about;author;contentReferenceTime;license_is_explicit;license;uri_objType;uri;isAt_UrbiGIS;status;comments;readme
5501;55;1;1;MG-URA;igor;15/10/20;BR-MG-Uberaba;Mapa urbano básico, hidrografias e estradas rurais;(self);2020;no;CC0;email;(anexo de email);no;2;;
5601;56;1;1;PE-CRU;igor;16/11/20;BR-PE-Caruaru;Mapa urbano básico;(self);2020;no;CC0;email;(link de download);no;2;;
5701;57;1;1;MG-ULA;igor;03/12/20;BR-MG-Uberlandia;Mapa urbano básico, sistema viário e loteamentos;(self);2020;no;CC0;site;https://www.uberlandia.mg.gov.br/prefeitura/secretarias/planejamento-urbano/mapas-e-bairros/;no;2;;
5801;58;1;1;SP-ITH;igor;07/12/20;BR-SP-Itanhaem;Bairros, eixos, limite de município, loteamentos, lotes e pontos de lotes;(self);2020;no;CC0;email;(anexo de email);no;4;Carlos;
5901;59;1;1;Paranacidade;igor;08/12/20;BR-PR;Lotes urbanos do Estado de Paraná;(self);2020;no;CC0;email;(anexo de email);no;5;Novo;
6001;60;1;1;PE-PTA;igor;16/09/20;BR-PE-Petrolina;Mapa básico em DWG e PDF;(self);2020;no;CC0;email;(anexo de email);no;2;;
6101;61;1;1;PR-AUC;igor;13/01/20;BR-PR-Araucaria;Lotes, eixos, bairros urbanos e bairros rurais;(self);2021;no;CC0;email;(anexo de email);no;6;;
6201;62;1;1;RO-JIP;igor;19/01/20;BR-RO-JiParana;Eixos;(self);2021;no;CC0;site;(anexo de email);no;2;;
6301;63;1;1;RS-NHO;igor;23/06/21;BR-RS-NovoHamburgo;Bairros, lotes (inscrição) e POIs.;(self);2021;no;CC0;site,email;https://signh.novohamburgo.rs.gov.br/,(anexo de email);no;5;Novo;
6401;64;1;1;RS-SCR;igor;08/03/22;BR-RS-SantaCruzSul;Eixos, lotes, bairros, quadras;(self);2022;no;CC0;email;(anexo de email);no;2;;
6501;65;1;1;SP-CUB;igor;12/02/21;BR-SP-Cubatao;Eixos, loteamentos, hidrografia, meios-fios, divisa de município, muros, PDFs de turismo e POIs.;(self);2021;no;CC0;email;(anexo de email);no;4;Carlos;
6601;66;1;1;PE-(BEZ);igor;03/03/21;BR-PE-Bezerros;Mapa cadastral em DWG;(self);2001;no;CC0;email;(anexo de email);no;2;;
6701;67;1;1;SP-PLN;igor;24/06/21;BR-SP-Paulinia;Quadras, bairros, limite de município e loteamentos.;(self);2021;no;CC0;email;(anexo de email);no;2;;
6801;68;1;1;DF-BSA;igor;26/03/21;BR-DF-Brasilia;Lotes, edificações, eixos, quadras, divisões administrativas (setor/quadra).;(self);2021;yes;C00;site;https://www.geoportal.seduh.df.gov.br/mapa;no;2;;
6901;69;1;1;RS-CSL;igor;29/03/21;BR-RS-CaxiasSul;Eixos, lotes, bairros, quadras, hidrografia, mapa cadastral em CAD.;(self);2021;no;CC0;site;https://caxias.rs.gov.br/servicos/planejamento/diretoria-de-informacoes-geoespaciais;no;2;https://github.com/digital-guard/preserv-BR/issues/115;
7001;70;1;1;MG-IBA;igor;30/03/21;BR-MG-Itabira;Eixos;(self);2021;no;CC0;email;(anexo de email);no;6;;
7101;71;1;1;AM-MNS;igor;02/03/21;BR-AM-Manaus;Bairros, bibliotecas, centros culturais, edificações, logradouros, lotes, município, museus, numeração, praças parques, quadras e teatros;(self);2021;no;CC0;email;(anexo de email);no;2;;
7102;71;2;1;AM-MNS;igor;27/04/21;BR-AM-Manaus;Lotes;(self);2021;no;CC0;email;(anexo de email);no;4;Carlos;
7201;72;1;1;PB-JPA;igor;25/05/21;BR-PB-JoaoPessoa;Bairros, escolas, limites, praças, quadras e rios.;(self);2021;no;CC0;site;http://geo.joaopessoa.pb.gov.br/digeoc/htmls/;no;4;;
7301;73;1;1;RN-NTL;igor;11/06/21;BR-RN-Natal;Eixos, lotes, quadras, bairros, edificações, praças e equipamentos urbanos ;(self);2021;no;CC0;email;(anexo de email);no;5;Novo;
7401;74;1;1;RN-SGM;igor;15/06/21;BR-RN-SaoGoncaloAmarante;Eixos, bairros;(self);2021;no;CC0;email;(anexo de email);no;5;Novo;
7501;75;1;1;SC-BQE;igor;21/06/21;BR-SC-Brusque;Eixos;(self);2021;no;CC0;email;(anexo de email);no;2;;
7601;76;1;1;RS-CAN;igor;06/07/21;BR-RS-Canoas;Lotes, eixos, quadras, bairros, loteamentos, limite de município, ciclovias, pontos de praças e equipamentos urbanos.;(self);2021;no;CC0;email;(anexo de email);no;2;;
7701;77;1;1;SC-CCO;igor;21/06/21;BR-SC-Chapeco;Eixos, bairros e loteamentos;(self);2021;no;CC0;email;(anexo de email);no;4;https://github.com/digital-guard/preserv-BR/issues/117;
7801;78;1;1;RJ-(RJO);igor;22/06/21;BR-RJ-RioJaneiro;Edificações, bairros;(self);2021;no;CC0;site;https://www.data.rio/;no;2;;
7901;79;1;1;PR-TOO;igor;22/06/21;BR-PR-Toledo;Eixos, quadras, bairros, loteamentos, limite de município e pontos de equipamentos urbanos.;(self);2021;no;CC0;email;(anexo de email);no;6;;
8001;80;1;1;RS-PLT;Carlos;15/11/21;BR-RS-Pelotas;Lotes, eixos e ponto de endereço;(self);2021;no;CC0;email;(anexo de email);no;2;;
7802;78;2;1;RJ-RJO;luis;28/01/22;BR-RJ-RioJaneiro;Endereços;(self);2022;yes;CC-BY;email;(anexo de email);;2;;
7803;78;3;1;RJ-RJO;luis;11/02/22;BR-RJ-RioJaneiro;Eixos;(self);2022;yes;CC-BY;site;https://www.data.rio/;;5;Novo;
8101;81;1;1;SP-GRH;luis;11/03/22;BR-SP-Guarulhos;Lotes, eixos;(self);2022;no;CC0;"site;email";"https://guarugeo.guarulhos.sp.gov.br/; (anexo de email)";no;6;;
6101;61;1;2;PR-AUC;carlos;01/04/22;BR-PR-Araucaria;Lotes, eixos, bairros urbanos e bairros rurais;(self);2022;no;CC0;email;(anexo de email);no;6;;
8201;82;1;1;RS-BGE;luis;25/04/22;BR-RS-Bage;Lotes, eixos e quadras;(self);2022;no;CC0;GitHub;https://github.com/GGC-Bage/GeoDataBase;no;2;https://github.com/digital-guard/preserv-BR/issues/90;
9101;91;1;1;ES-CIM;luis;05/04/22;BR-ES-CachoeiroItapemirim;Numero fiscal, lotes, eixos, quadras, bairros;(self);2022;no;CC0;site e email;http://siggeo.cachoeiro.es.gov.br/;;3;https://github.com/digital-guard/preserv-BR/issues/121;
9701;97;1;1;CE-FLA;luis;12/09/22;BR-CE-Fortaleza;Edificações, lotes, logradouros, quadras e bairros;(self);2022;yes;CC0;website;https://ide.sefin.fortaleza.ce.gov.br/;no;5;Novo;
8401;84;1;1;GO-ACG;luis;01/09/21;BR-GO-AparecidaGoiania;Lotes, logradouros, quadras, bairros;(self);2021;no;CC0;email;(anexo de email);no;4;;
11001;110;1;1;PR-MGA;luis;31/05/22;BR-PR-Maringa;Numero de porta;(self);2022;no;cc0;email;(anexo de email);no;6;;
14001;140;1;1;RS-CIO;luis;15/09/22;BR-RS-Carazinho;Lotes, edificações, distritos, quadras, setores, logradouros.;(self);2022;No;cc0;site;http://geo.carazinho.rs.gov.br/;no;1;Carlos;
14101;141;1;1;SC-IAI;luis;15/09/22;BR-SC-Itajai;Lotes, edificações, bairros, logradouros, outros.;(self);2022;No;cc0;site;https://arcgis.itajai.sc.gov.br/portal/apps/experiencebuilder/experience/?id=8898a2215b2348f590d3a69414c7d610;no;1;;
14201;142;1;1;SC-LGS;luis;15/09/22;BR-SC-Lages;Lotes, edificações, quadras, outros.;(self);2022;No;cc0;site;http://geo.lages.sc.gov.br/;no;1;;
14301;143;1;1;RS-SRO;luis;15/09/22;BR-RS-SantaRosa;Lotes, edificações, bairros, quadras, outros.;(self);2022;No;cc0;site;https://geo.santarosa.rs.gov.br/;no;1;Carlos;
14401;144;1;1;SC-XXE;luis;15/09/22;BR-SC-Xanxere;Lotes, edificações, bairros, outros.;(self);2022;No;cc0;site;http://geo.xanxere.sc.gov.br:8878/;no;1;;
